angle    w.speed (m/s)  frequency
----------------------------------------------
  0.0000      8.3697      0.0652
  5.0000      6.9411      0.0379
 10.0000      6.9537      0.0254
 15.0000      5.7531      0.0222
 20.0000      6.2365      0.0303
 25.0000      5.1080      0.0190
 30.0000      5.3033      0.0144
 35.0000      6.3633      0.0197
 40.0000      7.0076      0.0115
 45.0000      5.6771      0.0082
 50.0000      4.2300      0.0082
 55.0000      5.1511      0.0139
 60.0000      7.6275      0.0199
 65.0000      6.6881      0.0198
 70.0000      5.7141      0.0137
 75.0000      5.8919      0.0108
 80.0000      6.1747      0.0128
 85.0000      6.2007      0.0183
 90.0000      7.3092      0.0243
 95.0000      8.8570      0.0228
100.0000      8.8773      0.0361
105.0000      8.6571      0.0407
110.0000     12.5299      0.0509
115.0000     11.2026      0.0545
120.0000     13.7226      0.0800
125.0000     15.6364      0.0885
130.0000     14.3158      0.0910
135.0000     14.8859      0.0876
140.0000     15.3069      0.1228
145.0000     14.2291      0.1181
150.0000     13.4873      0.1290
155.0000     13.1435      0.1299
160.0000     12.6838      0.1234
165.0000     11.6298      0.1292
170.0000     11.0456      0.1088
175.0000     10.7438      0.1343
180.0000     11.3981      0.1038
185.0000     11.2108      0.1101
190.0000     10.6499      0.1153
195.0000     10.0373      0.0910
200.0000      9.7638      0.1176
205.0000      9.7176      0.0985
210.0000     10.2445      0.1279
215.0000      9.7732      0.1287
220.0000      9.6129      0.0983
225.0000      9.3286      0.1112
230.0000     10.5507      0.1093
235.0000     10.0383      0.0860
240.0000      9.7082      0.0985
245.0000     10.7084      0.0787
250.0000     10.0619      0.0971
255.0000     10.4738      0.0877
260.0000     10.9020      0.0993
265.0000     10.8301      0.1036
270.0000     10.2972      0.1028
275.0000     10.2125      0.1150
280.0000      8.9928      0.0998
285.0000      9.8588      0.1115
290.0000      9.4604      0.0806
295.0000      8.5719      0.0771
300.0000      9.7968      0.0860
305.0000      9.7053      0.0758
310.0000      9.4416      0.0816
315.0000      9.7381      0.1072
320.0000     10.0316      0.1201
325.0000     10.4384      0.1067
330.0000     11.0784      0.1523
335.0000     10.3518      0.1250
340.0000     11.3120      0.1577
345.0000     11.2059      0.1875
350.0000     10.0722      0.1553
355.0000      9.6353      0.0806
360.0000      7.7700      0.0010
