angle	ws (m/s)	Freq
90	4	0.000438443
90	5	0.000499948
90	6	0.000530553
90	7	0.000531027
90	8	0.000505234
90	9	0.000459214
90	10	0.000400061
90	11	0.000334833
90	12	0.000269675
90	13	0.000209264
90	14	0.000156598
90	15	0.000113088
90	16	7.88524E-05
90	17	5.31084E-05
90	18	3.45621E-05
90	19	2.17388E-05
90	20	1.32176E-05
90	21	7.76998E-06
90	22	4.41659E-06
90	23	2.42769E-06
90	24	1.29053E-06
90	25	6.63482E-07
93	4	0.000440583
93	5	0.000501889
93	6	0.000531966
93	7	0.000531674
93	8	0.000505004
93	9	0.00045813
93	10	0.000398262
93	11	0.000332534
93	12	0.000267122
93	13	0.00020669
93	14	0.000154192
93	15	0.000110977
93	16	7.71027E-05
93	17	5.17305E-05
93	18	3.35278E-05
93	19	2.09967E-05
93	20	1.27079E-05
93	21	7.43421E-06
93	22	4.20423E-06
93	23	2.29862E-06
93	24	1.21508E-06
93	25	6.21041E-07
96	4	0.00043669
96	5	0.000497519
96	6	0.000527436
96	7	0.00052728
96	8	0.000500989
96	9	0.00045466
96	10	0.000395419
96	11	0.000330327
96	12	0.000265501
96	13	0.000205566
96	14	0.000153461
96	15	0.000110536
96	16	7.68601E-05
96	17	5.16143E-05
96	18	3.3485E-05
96	19	2.09918E-05
96	20	1.27191E-05
96	21	7.44955E-06
96	22	4.21819E-06
96	23	2.30932E-06
96	24	1.22245E-06
96	25	6.25727E-07
99	4	0.000428031
99	5	0.000488179
99	6	0.000518224
99	7	0.000518898
99	8	0.000493943
99	9	0.000449221
99	10	0.000391629
99	11	0.000328037
99	12	0.00026444
99	13	0.000205407
99	14	0.000153882
99	15	0.00011126
99	16	7.76803E-05
99	17	5.23933E-05
99	18	3.41489E-05
99	19	2.15141E-05
99	20	1.31039E-05
99	21	7.71745E-06
99	22	4.39538E-06
99	23	2.42107E-06
99	24	1.28984E-06
99	25	6.64663E-07
102	4	0.00041597
102	5	0.000475288
102	6	0.00050564
102	7	0.000507588
102	8	0.000484592
102	9	0.000442177
102	10	0.000386913
102	11	0.000325413
102	12	0.000263501
102	13	0.000205677
102	14	0.000154897
102	15	0.000112631
102	16	7.91153E-05
102	17	5.37073E-05
102	18	3.52465E-05
102	19	2.23676E-05
102	20	1.37287E-05
102	21	8.15104E-06
102	22	4.68189E-06
102	23	2.60192E-06
102	24	1.39914E-06
102	25	7.28022E-07
105	4	0.000401834
105	5	0.000460227
105	6	0.00049096
105	7	0.000494394
105	8	0.00047366
105	9	0.000433901
105	10	0.00038132
105	11	0.000322235
105	12	0.000262277
105	13	0.000205866
105	14	0.000155971
105	15	0.000114141
105	16	8.07253E-05
105	17	5.51986E-05
105	18	3.65038E-05
105	19	2.33533E-05
105	20	1.4456E-05
105	21	8.65964E-06
105	22	5.02063E-06
105	23	2.81749E-06
105	24	1.53053E-06
105	25	8.0485E-07
108	4	0.000386837
108	5	0.000444273
108	6	0.000475383
108	7	0.000480316
108	8	0.000461873
108	9	0.000424812
108	10	0.000374971
108	11	0.000318371
108	12	0.000260451
108	13	0.000205544
108	14	0.000156629
108	15	0.000115326
108	16	8.20916E-05
108	17	5.65159E-05
108	18	3.76428E-05
108	19	2.42628E-05
108	20	1.51367E-05
108	21	9.14158E-06
108	22	5.34515E-06
108	23	3.02612E-06
108	24	1.65893E-06
108	25	8.80653E-07
111	4	0.000372042
111	5	0.000428561
111	6	0.00046
111	7	0.000466303
111	8	0.00044996
111	9	0.00041538
111	10	0.000368072
111	11	0.000313794
111	12	0.000257811
111	13	0.000204378
111	14	0.000156472
111	15	0.000115774
111	16	8.28295E-05
111	17	5.7324E-05
111	18	3.83886E-05
111	19	2.48823E-05
111	20	1.56128E-05
111	21	9.48506E-06
111	22	5.57975E-06
111	23	3.17864E-06
111	24	1.75366E-06
111	25	9.37012E-07
114	4	0.000358372
114	5	0.000414094
114	6	0.000445803
114	7	0.000453241
114	8	0.000438633
114	9	0.000406102
114	10	0.000360895
114	11	0.000308564
114	12	0.000254242
114	13	0.000202122
114	14	0.00015518
114	15	0.000115136
114	16	8.25963E-05
114	17	5.73141E-05
114	18	3.84809E-05
114	19	2.50043E-05
114	20	1.57271E-05
114	21	9.5765E-06
114	22	5.64588E-06
114	23	3.22297E-06
114	24	1.78158E-06
114	25	9.53648E-07
117	4	0.000346639
117	5	0.000401778
117	6	0.000433702
117	7	0.000441968
117	8	0.000428589
117	9	0.000397486
117	10	0.000353741
117	11	0.000302785
117	12	0.000249678
117	13	0.000198586
117	14	0.000152482
117	15	0.000113106
117	16	8.10897E-05
117	17	5.62115E-05
117	18	3.76868E-05
117	19	2.44431E-05
117	20	1.5339E-05
117	21	9.31457E-06
117	22	5.47386E-06
117	23	3.11326E-06
117	24	1.71374E-06
117	25	9.13037E-07
120	4	0.000337611
120	5	0.000392476
120	6	0.000424576
120	7	0.000433292
120	8	0.000420495
120	9	0.000390014
120	10	0.000346887
120	11	0.000296537
120	12	0.00024404
120	13	0.000193573
120	14	0.000148118
120	15	0.000109402
120	16	7.80382E-05
120	17	5.37788E-05
120	18	3.58139E-05
120	19	2.30524E-05
120	20	1.43439E-05
120	21	8.62869E-06
120	22	5.01859E-06
120	23	2.82223E-06
120	24	1.53457E-06
120	25	8.0679E-07
123	4	0.00033185
123	5	0.000386826
123	6	0.000419068
123	7	0.000427794
123	8	0.000414815
123	9	0.000383998
123	10	0.000340487
123	11	0.000289838
123	12	0.00023724
123	13	0.000186936
123	14	0.000141916
123	15	0.000103865
123	16	7.33162E-05
123	17	4.99303E-05
123	18	3.28144E-05
123	19	2.08148E-05
123	20	1.27448E-05
123	21	7.53324E-06
123	22	4.29863E-06
123	23	2.36801E-06
123	24	1.25932E-06
123	25	6.46509E-07
126	4	0.000329078
126	5	0.000384504
126	6	0.000416846
126	7	0.000425164
126	8	0.00041129
126	9	0.000379255
126	10	0.000334456
126	11	0.000282709
126	12	0.000229408
126	13	0.000178906
126	14	0.000134192
126	15	9.6864E-05
126	16	6.73136E-05
126	17	4.50473E-05
126	18	2.90365E-05
126	19	1.80294E-05
126	20	1.07848E-05
126	21	6.21501E-06
126	22	3.45043E-06
126	23	1.84541E-06
126	24	9.50773E-07
126	25	4.71843E-07
129	4	0.000328875
129	5	0.000385019
129	6	0.000417391
129	7	0.000424908
129	8	0.000409496
129	9	0.000375477
129	10	0.000328631
129	11	0.000275153
129	12	0.000220715
129	13	0.000169798
129	14	0.00012537
129	15	8.88859E-05
129	16	6.05338E-05
129	17	3.96083E-05
129	18	2.49031E-05
129	19	1.50464E-05
129	20	8.73623E-06
129	21	4.87439E-06
129	22	2.61335E-06
129	23	1.34623E-06
129	24	6.66255E-07
129	25	3.16749E-07
132	4	0.00033086
132	5	0.000387916
132	6	0.000420218
132	7	0.000426556
132	8	0.000409033
132	9	0.000372377
132	10	0.000322878
132	11	0.000267207
132	12	0.000211364
132	13	0.00015996
132	14	0.000115896
132	15	8.04253E-05
132	16	5.34689E-05
132	17	3.40612E-05
132	18	2.07921E-05
132	19	1.21623E-05
132	20	6.8169E-06
132	21	3.66082E-06
132	22	1.88338E-06
132	23	9.28114E-07
132	24	4.38029E-07
132	25	1.97956E-07
135	4	0.000334634
135	5	0.000392721
135	6	0.000424828
135	7	0.000429646
135	8	0.000409533
135	9	0.000369734
135	10	0.000317154
135	11	0.000259013
135	12	0.000201663
135	13	0.00014982
135	14	0.000106268
135	15	7.19899E-05
135	16	4.65866E-05
135	17	2.88007E-05
135	18	1.70095E-05
