  angle    w.speed (m/s)  frequency
----------------------------------------------
   90.0000    8.6920    0.0078
   95.0000    8.6755    0.0077
  100.0000    8.7065    0.0076
  105.0000    8.7625    0.0074
  110.0000    8.8205    0.0071
  115.0000    8.8585    0.0069
  120.0000    8.8565    0.0066
  125.0000    8.7985    0.0064
  130.0000    8.6955    0.0061
  135.0000    8.5675    0.0060
  140.0000    8.4380    0.0058
  145.0000    8.3325    0.0058
  150.0000    8.2805    0.0058
  155.0000    8.3015    0.0059
  160.0000    8.3875    0.0061
  165.0000    8.5225    0.0064
  170.0000    8.6885    0.0069
  175.0000    8.8705    0.0077
  180.0000    9.0550    0.0087
  185.0000    9.2330    0.0100
  190.0000    9.4040    0.0114
  195.0000    9.5600    0.0128
  200.0000    9.6935    0.0141
  205.0000    9.7930    0.0150
  210.0000    9.8480    0.0154
  215.0000    9.8520    0.0153
  220.0000    9.8160    0.0147
  225.0000    9.7560    0.0139
  230.0000    9.6860    0.0130
  235.0000    9.6225    0.0122
  240.0000    9.5790    0.0117
  245.0000    9.5665    0.0116
  250.0000    9.5810    0.0120
  255.0000    9.6150    0.0126
  260.0000    9.6620    0.0135
  265.0000    9.7150    0.0144
  270.0000    9.7670    0.0155
  275.0000    9.8110    0.0164
  280.0000    9.8460    0.0173
  285.0000    9.8710    0.0181
  290.0000    9.8875    0.0188
  295.0000    9.8955    0.0194
  300.0000    9.8955    0.0199
  305.0000    9.8865    0.0204
  310.0000    9.8685    0.0207
  315.0000    9.8430    0.0209
  320.0000    9.8120    0.0210
  325.0000    9.7770    0.0210
  330.0000    9.7390    0.0208
  335.0000    9.7010    0.0205
  340.0000    9.6650    0.0202
  345.0000    9.6330    0.0198
  350.0000    9.6070    0.0194
  355.0000    9.5900    0.0191
               0    9.5830    0.0189
      5.0000    9.5875    0.0189
   10.0000    9.6010    0.0189
   15.0000    9.6190    0.0191
   20.0000    9.6390    0.0193
   25.0000    9.6580    0.0194
   30.0000    9.6720    0.0195
   35.0000    9.6790    0.0195
   40.0000    9.6740    0.0193
   45.0000    9.6540    0.0190
   50.0000    9.6150    0.0183
   55.0000    9.5530    0.0174
   60.0000    9.4620    0.0161
   65.0000    9.3390    0.0144
   70.0000    9.1945    0.0126
   75.0000    9.0420    0.0108
   80.0000    8.8930    0.0093
   85.0000    8.7695    0.0082
