angle,w.speed,Freq
281.6,25.5,0.000114155251142
292.5,27.96,0.000114155251142
308.7,28.76,0.000114155251142
313.7,28.62,0.000114155251142
316.1,28.08,0.000114155251142
315.2,27.26,0.000114155251142
317.5,25.65,0.000114155251142
320.1,24.62,0.000114155251142
325.1,22.69,0.000114155251142
333.3,25.07,0.000114155251142
337.7,26.61,0.000114155251142
339.5,26.44,0.000114155251142
338.8,26.16,0.000114155251142
338.6,24.98,0.000114155251142
343.8,25.57,0.000114155251142
342.1,23.7,0.000114155251142
345,23.49,0.000114155251142
347.3,22.89,0.000114155251142
346.2,21.9,0.000114155251142
347,21.33,0.000114155251142
348.5,20.57,0.000114155251142
352.6,20.43,0.000114155251142
352.8,19.74,0.000114155251142
354.1,19.04,0.000114155251142
357.2,18.68,0.000114155251142
359,17.97,0.000114155251142
357.8,17.56,0.000114155251142
359.4,17.27,0.000114155251142
359.5,16,0.000114155251142
358,14.73,0.000114155251142
355.2,13.66,0.000114155251142
352.2,12.65,0.000114155251142
347.9,12.39,0.000114155251142
343.2,12.79,0.000114155251142
340.3,12.34,0.000114155251142
337.9,11.91,0.000114155251142
334.8,11.55,0.000114155251142
336.5,11.33,0.000114155251142
336.7,10.69,0.000114155251142
337.2,9.48,0.000114155251142
337.1,8.63,0.000114155251142
335.1,7.62,0.000114155251142
333,7.43,0.000114155251142
333.9,7.46,0.000114155251142
332.8,7.86,0.000114155251142
328.7,7.51,0.000114155251142
328.5,6.76,0.000114155251142
331.6,7.83,0.000114155251142
339.4,9.43,0.000114155251142
346.2,9.16,0.000114155251142
349.4,8.4,0.000114155251142
345.2,4.96,0.000114155251142
334.2,5.26,0.000114155251142
333.1,6.48,0.000114155251142
327.3,6.75,0.000114155251142
317.2,6.29,0.000114155251142
311.7,6.81,0.000114155251142
301.8,6.48,0.000114155251142
302.6,7.02,0.000114155251142
300.7,7.3,0.000114155251142
298.1,7.75,0.000114155251142
305,7.91,0.000114155251142
312.4,7.57,0.000114155251142
294.8,5.88,0.000114155251142
294.6,5.93,0.000114155251142
292.6,6.25,0.000114155251142
288.4,6.79,0.000114155251142
288.9,7.2,0.000114155251142
290.5,6.84,0.000114155251142
296,7.16,0.000114155251142
292.1,7.62,0.000114155251142
285.7,8.23,0.000114155251142
279.8,9.25,0.000114155251142
281.8,10.34,0.000114155251142
283.6,10.7,0.000114155251142
275.8,9.48,0.000114155251142
274,10.13,0.000114155251142
285.3,10.58,0.000114155251142
286.6,12.32,0.000114155251142
288.2,12.2,0.000114155251142
281.6,12.26,0.000114155251142
287.3,12.65,0.000114155251142
285.8,13.24,0.000114155251142
288.1,13.93,0.000114155251142
291.6,14.83,0.000114155251142
293.5,15.11,0.000114155251142
297.4,15.52,0.000114155251142
305.5,15.66,0.000114155251142
307.4,16.15,0.000114155251142
310.1,16.39,0.000114155251142
311.4,16.32,0.000114155251142
313.8,16.71,0.000114155251142
318.4,16.37,0.000114155251142
322.5,15.43,0.000114155251142
320.9,14.66,0.000114155251142
321.1,14.36,0.000114155251142
320.5,14.39,0.000114155251142
320.9,14.68,0.000114155251142
321.2,14.75,0.000114155251142
322.5,14.06,0.000114155251142
323.4,13.3,0.000114155251142
326.7,12.76,0.000114155251142
328.6,12.36,0.000114155251142
330.1,12.34,0.000114155251142
332.6,11.47,0.000114155251142
328.1,11.64,0.000114155251142
327.3,11.82,0.000114155251142
329.9,11.96,0.000114155251142
330.4,11.46,0.000114155251142
327.3,10.52,0.000114155251142
320.7,10.75,0.000114155251142
323.6,9.69,0.000114155251142
323.3,9.37,0.000114155251142
320.4,9.45,0.000114155251142
317.9,9.8,0.000114155251142
314.7,9.45,0.000114155251142
311.9,9.4,0.000114155251142
313.6,9.13,0.000114155251142
317,8.82,0.000114155251142
313,8.27,0.000114155251142
310.6,8.76,0.000114155251142
309.2,8.12,0.000114155251142
305.5,7.44,0.000114155251142
302.9,6.27,0.000114155251142
296.9,6.72,0.000114155251142
295.4,6.97,0.000114155251142
292.9,7.25,0.000114155251142
286.2,7.34,0.000114155251142
279.3,7.18,0.000114155251142
267.6,6.28,0.000114155251142
258.8,6.08,0.000114155251142
253.6,5.32,0.000114155251142
277.9,5.48,0.000114155251142
347.1,12.88,0.000114155251142
345.8,11.87,0.000114155251142
340.9,11.5,0.000114155251142
337.2,10.73,0.000114155251142
340.9,9.22,0.000114155251142
340.9,8.41,0.000114155251142
343.7,8.34,0.000114155251142
334.2,8.01,0.000114155251142
339.9,7.1,0.000114155251142
338.5,6.39,0.000114155251142
336,6.05,0.000114155251142
337.5,5.08,0.000114155251142
335.7,3.54,0.000114155251142
316.8,3.18,0.000114155251142
269.1,2.79,0.000114155251142
246.4,3.39,0.000114155251142
194.8,3.86,0.000114155251142
199,5.51,0.000114155251142
175.8,8.17,0.000114155251142
172.6,11.73,0.000114155251142
168.8,15.01,0.000114155251142
166.6,17.33,0.000114155251142
167.8,19.27,0.000114155251142
181,17.98,0.000114155251142
225.1,15.3,0.000114155251142
258.8,16.23,0.000114155251142
236.6,13.48,0.000114155251142
225.3,13.96,0.000114155251142
220.6,15.27,0.000114155251142
220.4,13.15,0.000114155251142
240.2,10.34,0.000114155251142
284.5,6.28,0.000114155251142
339.6,4.55,0.000114155251142
346,9.16,0.000114155251142
19.4,9.14,0.000114155251142
2.7,18.36,0.000114155251142
353.4,17.8,0.000114155251142
349.1,21.02,0.000114155251142
347.4,22.84,0.000114155251142
352.4,26.03,0.000114155251142
353.1,26.66,0.000114155251142
353.8,25.9,0.000114155251142
353.7,24.31,0.000114155251142
354.6,23.36,0.000114155251142
350.6,23.15,0.000114155251142
351.7,21.86,0.000114155251142
351.3,20.87,0.000114155251142
352.8,20.15,0.000114155251142
352.8,19.47,0.000114155251142
350.2,18.19,0.000114155251142
347.5,17.26,0.000114155251142
352.7,16.7,0.000114155251142
355.9,15.5,0.000114155251142
0.9,18.47,0.000114155251142
357.5,18.13,0.000114155251142
358.1,18.07,0.000114155251142
356.5,19.64,0.000114155251142
0.3,19.91,0.000114155251142
2.5,19.32,0.000114155251142
3.3,19.2,0.000114155251142
6.5,18.2,0.000114155251142
4.1,17.46,0.000114155251142
1.6,17.05,0.000114155251142
3.2,17,0.000114155251142
4.5,15.74,0.000114155251142
5,14.91,0.000114155251142
6.3,13.07,0.000114155251142
4.1,11.81,0.000114155251142
353.5,12.63,0.000114155251142
352.1,12.49,0.000114155251142
350.3,11.8,0.000114155251142
351.4,11.4,0.000114155251142
354,10.22,0.000114155251142
353.2,9.86,0.000114155251142
350.2,7.67,0.000114155251142
