angle,w.speed (m/s),Freq
20.4,6.44,0.000114155251142
26,6.29,0.000114155251142
26.8,5.58,0.000114155251142
8.7,3.54,0.000114155251142
23.5,3.19,0.000114155251142
58.9,4.12,0.000114155251142
111.3,4.54,0.000114155251142
156.8,7.05,0.000114155251142
159.8,8.68,0.000114155251142
159.7,13.37,0.000114155251142
157.8,15.6,0.000114155251142
157.2,18,0.000114155251142
160.4,19.65,0.000114155251142
158.9,21.59,0.000114155251142
158.9,23.09,0.000114155251142
165.7,23.89,0.000114155251142
172,23.01,0.000114155251142
178.1,20.63,0.000114155251142
185.8,18.12,0.000114155251142
199.9,16.2,0.000114155251142
206.2,15.3,0.000114155251142
199.5,14.66,0.000114155251142
211.3,15.15,0.000114155251142
214.6,15,0.000114155251142
217.8,15.84,0.000114155251142
226.9,15.78,0.000114155251142
239.7,14.94,0.000114155251142
231.5,14.02,0.000114155251142
240,12.85,0.000114155251142
243.4,12.07,0.000114155251142
242.4,12.13,0.000114155251142
243.2,12.99,0.000114155251142
238.8,11.31,0.000114155251142
213.8,9.36,0.000114155251142
206.7,9.66,0.000114155251142
209.5,10.46,0.000114155251142
213.3,10.64,0.000114155251142
211.4,10.57,0.000114155251142
213.9,11.51,0.000114155251142
213.6,10,0.000114155251142
220.7,10.11,0.000114155251142
221.4,9.74,0.000114155251142
223.6,10.36,0.000114155251142
222.6,9.86,0.000114155251142
214.9,10.08,0.000114155251142
210.5,10.08,0.000114155251142
207.8,11.17,0.000114155251142
206.7,11.14,0.000114155251142
212.1,12.16,0.000114155251142
218.2,13.29,0.000114155251142
210.7,12.83,0.000114155251142
208.7,12.59,0.000114155251142
207.9,12.64,0.000114155251142
223.1,14.01,0.000114155251142
232.7,12.45,0.000114155251142
228.1,13.4,0.000114155251142
225.2,14.46,0.000114155251142
242.9,13.78,0.000114155251142
330.5,17.22,0.000114155251142
321.5,15.4,0.000114155251142
309.6,13.5,0.000114155251142
302.9,13.44,0.000114155251142
293.2,12.77,0.000114155251142
284.1,12.74,0.000114155251142
275.2,12.9,0.000114155251142
267,13.54,0.000114155251142
262.1,14.49,0.000114155251142
257.4,14.71,0.000114155251142
252.4,15.55,0.000114155251142
250.3,16.41,0.000114155251142
248.5,17.48,0.000114155251142
251.9,17.72,0.000114155251142
253.1,20.24,0.000114155251142
242.7,14.23,0.000114155251142
255.6,19.1,0.000114155251142
258.8,16.72,0.000114155251142
262.2,17.29,0.000114155251142
257.2,17.44,0.000114155251142
256,20.14,0.000114155251142
258.2,19.61,0.000114155251142
271.6,18.62,0.000114155251142
276.4,16.92,0.000114155251142
269.4,16.74,0.000114155251142
265.7,17.12,0.000114155251142
266.6,18.04,0.000114155251142
257.2,14.31,0.000114155251142
257.8,14.97,0.000114155251142
252.1,13.55,0.000114155251142
289.5,14.96,0.000114155251142
300.4,13.39,0.000114155251142
317,17.67,0.000114155251142
335,17.47,0.000114155251142
342,18.23,0.000114155251142
340.8,18.95,0.000114155251142
344.9,18.69,0.000114155251142
348.5,19.3,0.000114155251142
355.4,18.96,0.000114155251142
359.2,18.88,0.000114155251142
359.5,19.81,0.000114155251142
2.9,18.25,0.000114155251142
358.4,19.67,0.000114155251142
0.8,20.1,0.000114155251142
1.6,20.49,0.000114155251142
358.3,19.63,0.000114155251142
355.7,17.78,0.000114155251142
350.4,19.7,0.000114155251142
353.7,20.14,0.000114155251142
356.2,20.71,0.000114155251142
0.9,20.58,0.000114155251142
0,19.13,0.000114155251142
3.3,18.29,0.000114155251142
1.9,17.81,0.000114155251142
359,15.83,0.000114155251142
353.3,15.09,0.000114155251142
352.9,14.46,0.000114155251142
352.7,13.56,0.000114155251142
350.5,12.55,0.000114155251142
346.7,13,0.000114155251142
346.4,12.09,0.000114155251142
346.7,11.18,0.000114155251142
346.9,10.17,0.000114155251142
348.9,9.06,0.000114155251142
347.2,7.91,0.000114155251142
341,5.48,0.000114155251142
342.5,4.37,0.000114155251142
342,3.11,0.000114155251142
331.3,1.93,0.000114155251142
280,1.16,0.000114155251142
232.9,1.84,0.000114155251142
197.3,2.5,0.000114155251142
185.8,4.3,0.000114155251142
189.1,6.55,0.000114155251142
193.6,8.23,0.000114155251142
192.7,9.74,0.000114155251142
180.2,10.35,0.000114155251142
174.2,13.71,0.000114155251142
171.9,14.85,0.000114155251142
169,15.57,0.000114155251142
164.8,16.41,0.000114155251142
173.3,16.28,0.000114155251142
173.4,17.14,0.000114155251142
169.7,17.06,0.000114155251142
172.1,17.34,0.000114155251142
162.7,18.22,0.000114155251142
158.4,18.88,0.000114155251142
156.8,19.14,0.000114155251142
157.9,18.2,0.000114155251142
154,15.92,0.000114155251142
165.2,14.32,0.000114155251142
172.3,12.95,0.000114155251142
175.4,11.31,0.000114155251142
177.6,10.67,0.000114155251142
175.2,12.59,0.000114155251142
171.7,10.78,0.000114155251142
173.3,9.58,0.000114155251142
174.2,9.72,0.000114155251142
168.5,10.55,0.000114155251142
197.9,7.78,0.000114155251142
258.8,5.91,0.000114155251142
183.4,9.89,0.000114155251142
182.8,8.45,0.000114155251142
175.8,8.36,0.000114155251142
178,6.04,0.000114155251142
258.1,2.55,0.000114155251142
285.4,1.67,0.000114155251142
181.6,2.49,0.000114155251142
207.7,1.41,0.000114155251142
196.7,0.92,0.000114155251142
226.3,1.28,0.000114155251142
290.4,3.6,0.000114155251142
308.2,5.13,0.000114155251142
203.1,1.72,0.000114155251142
329.6,1.26,0.000114155251142
303,4.25,0.000114155251142
283.7,5.73,0.000114155251142
264,4.81,0.000114155251142
243.6,4.1,0.000114155251142
194.3,3.16,0.000114155251142
178.4,5.16,0.000114155251142
176.8,7.32,0.000114155251142
173.2,9.24,0.000114155251142
158.9,11.39,0.000114155251142
156.7,13.69,0.000114155251142
156.9,14.87,0.000114155251142
149.6,15.89,0.000114155251142
142.8,16.28,0.000114155251142
139.2,16.55,0.000114155251142
133,16.42,0.000114155251142
130.3,15.82,0.000114155251142
134.8,17.06,0.000114155251142
131.5,17.35,0.000114155251142
126.7,16.89,0.000114155251142
120.2,17.43,0.000114155251142
125.2,17.65,0.000114155251142
127,16.27,0.000114155251142
129.7,17.19,0.000114155251142
133.2,16.6,0.000114155251142
134.7,15.27,0.000114155251142
131.2,13.8,0.000114155251142
121.2,11.53,0.000114155251142
117.1,12.51,0.000114155251142
121,12.63,0.000114155251142
120.4,12.65,0.000114155251142
121.1,12.79,0.000114155251142
113.3,12.36,0.000114155251142
113.8,12.28,0.000114155251142
112.1,11.67,0.000114155251142
111.5,10.33,0.000114155251142
114.8,11.01,0.000114155251142
106.6,10.24,0.000114155251142
110.2,11.91,0.000114155251142
115.2,11.99,0.000114155251142
117,10.93,0.000114155251142
93.6,9.2,0.000114155251142
103.6,8,0.000114155251142
106,9.81,0.000114155251142
119.2,9.93,0.000114155251142
123.5,8.76,0.000114155251142
136.9,8.88,0.000114155251142
136.2,9.05,0.000114155251142
133.2,10.17,0.000114155251142
138.2,12.26,0.000114155251142
144.2,12.58,0.000114155251142
151.6,13.72,0.000114155251142
154.5,15.73,0.000114155251142
151.6,18.85,0.000114155251142
151.7,20.04,0.000114155251142
156.7,20.72,0.000114155251142
158.9,21.41,0.000114155251142
157.9,22.4,0.000114155251142
158.2,23.04,0.000114155251142
157.3,23.75,0.000114155251142
157.8,24.07,0.000114155251142
160.2,24.12,0.000114155251142
162.2,23.95,0.000114155251142
161,24.42,0.000114155251142
161.4,24.57,0.000114155251142
162.9,25.11,0.000114155251142
165.7,25.41,0.000114155251142
168.1,25.46,0.000114155251142
171.5,23.88,0.000114155251142
175.9,22.64,0.000114155251142
175.3,22.03,0.000114155251142
180.7,19.72,0.000114155251142
288.4,7.83,0.000114155251142
286.6,5.72,0.000114155251142
245,3.82,0.000114155251142
240.9,6.6,0.000114155251142
239,8.26,0.000114155251142
252.7,8.63,0.000114155251142
256.2,9.37,0.000114155251142
250.7,8.88,0.000114155251142
