angle    w.speed (m/s)  frequency
----------------------------------------------
  0.0000     13.8700      0.0010
  0.0000     15.4400      0.0008
  0.1000     11.5000      0.0010
  0.1000      8.5300      0.0007
  0.3000      7.4700      0.0015
  0.5000     11.6200      0.0011
  0.5000      8.6600      0.0006
  0.5000      7.6100      0.0007
  0.6000      4.1700      0.0003
  0.6000      6.1700      0.0006
  0.6000     11.2300      0.0010
  0.6000      6.2300      0.0008
  0.8000     14.7500      0.0006
  0.9000     14.9500      0.0005
  0.9000      5.7700      0.0006
  1.0000     11.6200      0.0011
  1.1000      7.7100      0.0008
  1.1000      8.5400      0.0011
  1.1000     14.3300      0.0008
  1.2000     11.2000      0.0009
  1.2000      6.6500      0.0007
  1.2000      6.8700      0.0008
  1.2000      3.5500      0.0011
  1.3000     17.0500      0.0007
  1.3000      1.8000      0.0006
  1.4000      3.8800      0.0003
  1.4000      7.4900      0.0008
  1.5000      2.9500      0.0006
  1.6000      6.6400      0.0009
  1.6000      5.9500      0.0005
  1.8000      8.4500      0.0011
  1.9000      4.2900      0.0007
  2.0000      7.2900      0.0005
  2.0000     10.8400      0.0008
  2.0000      6.9700      0.0010
  2.1000      6.6900      0.0006
  2.1000      8.9900      0.0010
  2.1000      6.9800      0.0005
  2.2000      5.5000      0.0008
  2.2000     11.6000      0.0006
  2.2000      7.4800      0.0002
  2.3000      7.2100      0.0007
  2.3000      5.7800      0.0007
  2.4000     19.3300      0.0005
  2.4000     14.4800      0.0009
  2.5000      3.1000      0.0006
  2.7000      5.3300      0.0007
  3.0000     13.8000      0.0007
  3.0000     11.9100      0.0005
  3.0000     14.3800      0.0006
  3.0000      8.5000      0.0010
  3.1000      8.0500      0.0009
  3.2000     14.6500      0.0005
  3.3000      9.0200      0.0007
  3.3000      4.7300      0.0007
  3.4000      9.6700      0.0009
  3.4000      9.6600      0.0010
  3.4000      7.2200      0.0011
  3.5000      8.4500      0.0011
  3.5000      7.5600      0.0006
  3.6000      4.1300      0.0005
  3.7000      7.9000      0.0007
  3.7000      3.8400      0.0003
  3.7000      5.9200      0.0007
  3.8000      9.2200      0.0015
  3.8000      9.0500      0.0007
  3.8000      5.3300      0.0007
  3.9000     10.2700      0.0009
  3.9000     10.3700      0.0010
  3.9000     10.2300      0.0013
  4.0000      4.5200      0.0007
  4.0000     12.2100      0.0007
  4.2000      7.7300      0.0009
  4.2000      4.8100      0.0006
  4.4000      3.6800      0.0005
  4.4000      7.7700      0.0010
  4.5000      8.3700      0.0009
  4.6000     10.0100      0.0010
  4.7000      6.6500      0.0007
  4.7000      1.4300      0.0002
  4.7000     10.0600      0.0009
  4.7000      3.3900      0.0008
  4.8000      8.3800      0.0010
  4.8000      5.4000      0.0002
  4.8000      8.3300      0.0006
  4.8000      8.6800      0.0005
  5.0000      7.9700      0.0008
  5.2000      4.2800      0.0008
  5.2000      4.2000      0.0003
  5.2000      2.3200      0.0005
  5.3000      8.4300      0.0003
  5.4000     14.8000      0.0006
  5.5000      5.9900      0.0008
  5.6000      7.3200      0.0007
  5.6000      1.5500      0.0003
  5.6000      6.7800      0.0003
  5.7000      4.2200      0.0007
  5.7000     11.4100      0.0005
  5.7000     11.3600      0.0013
  5.8000      1.8100      0.0002
  6.1000      1.4800      0.0001
  6.2000      8.4500      0.0011
  6.4000      7.5900      0.0008
  6.5000      3.6000      0.0005
  6.7000      5.7700      0.0006
  6.9000      7.1200      0.0009
  7.1000      6.5800      0.0003
  7.3000      3.2900      0.0006
  7.4000      4.1700      0.0003
  7.4000      6.3300      0.0008
  7.4000     10.0400      0.0006
  7.7000      6.2800      0.0005
  7.7000      8.0900      0.0006
  7.9000      7.4700      0.0015
  8.0000      3.9600      0.0002
  8.0000      5.5800      0.0003
  8.1000      5.6400      0.0005
  8.2000     12.3800      0.0007
  8.4000      6.6800      0.0006
  8.4000      2.8800      0.0005
  8.5000     11.3500      0.0011
  8.5000      0.9300      0.0002
  8.9000      7.1800      0.0005
  8.9000     12.6100      0.0008
  8.9000      5.7000      0.0005
  8.9000      7.7800      0.0008
  9.0000      7.3100      0.0009
  9.0000      8.4700      0.0017
  9.1000      7.0100      0.0007
  9.2000      7.7600      0.0009
  9.4000      9.0100      0.0005
  9.4000      8.1500      0.0011
  9.4000      6.6400      0.0009
  9.4000      7.7800      0.0008
  9.5000      7.6800      0.0013
  9.5000     13.3500      0.0009
  9.6000     14.4000      0.0007
  9.7000      3.3900      0.0008
  9.7000      5.3600      0.0006
  9.8000     12.8000      0.0006
  9.9000      8.0200      0.0007
  9.9000      5.7100      0.0006
  9.9000      1.4300      0.0002
 10.0000     10.0300      0.0005
 10.0000      4.2900      0.0007
 10.3000     12.9700      0.0010
 10.6000     13.5000      0.0009
 10.6000      7.3100      0.0009
 10.7000      1.4000      0.0003
 10.8000     11.7600      0.0006
 10.8000      9.5000      0.0013
 11.0000     11.9600      0.0007
 11.1000      6.3500      0.0009
 11.2000      5.0400      0.0006
 11.2000      9.4600      0.0003
 11.5000     10.4500      0.0009
 11.7000      3.8500      0.0006
 11.7000      5.1200      0.0008
 11.7000     12.2200      0.0005
 11.8000      4.4100      0.0005
 11.8000      5.5900      0.0005
 12.1000     12.9000      0.0006
 12.4000      5.3800      0.0011
 12.4000      6.4600      0.0002
 12.5000      5.3600      0.0006
 12.5000      5.9000      0.0005
 12.6000      5.1600      0.0007
 12.7000      7.0600      0.0002
 12.8000     11.0500      0.0009
 13.4000      9.4400      0.0009
 13.4000      5.7000      0.0005
 13.4000      3.5700      0.0003
 13.4000      7.6700      0.0003
 13.5000      1.5300      0.0005
 13.8000      2.3600      0.0005
 14.1000      1.1800      0.0003
 14.1000      3.3100      0.0005
 14.1000      1.5000      0.0001
 14.2000     11.2400      0.0006
 14.7000      8.1700      0.0014
 14.7000      6.8000      0.0005
 14.8000      1.9900      0.0002
 14.9000      7.0900      0.0006
 14.9000      9.0700      0.0009
 15.0000      7.9000      0.0007
 15.2000      1.7300      0.0002
 15.5000      3.3500      0.0006
 15.5000     10.5700      0.0007
 15.8000      1.6400      0.0002
 15.9000     10.1200      0.0013
 15.9000      5.1100      0.0006
 15.9000      6.3200      0.0006
 16.2000      7.0400      0.0003
 16.3000      7.0900      0.0006
 16.3000      4.2300      0.0002
 16.3000      2.5000      0.0011
 16.4000      8.1200      0.0009
 16.5000      7.1300      0.0007
 16.5000      3.9200      0.0005
 16.5000      4.7300      0.0007
 16.5000      5.9800      0.0006
 16.6000      9.5800      0.0007
 16.6000      8.8700      0.0008
 16.7000      7.6400      0.0009
 16.8000      1.9600      0.0002
 17.1000      7.8400      0.0010
 17.2000      4.4800      0.0005
 17.2000      8.1900      0.0008
 17.6000      1.2700      0.0002
 17.6000      3.5200      0.0006
 17.9000      3.6200      0.0006
 18.4000      4.4500      0.0002
 18.4000      9.9500      0.0009
 18.9000      3.5500      0.0011
 19.2000      6.4900      0.0005
 19.2000      4.7400      0.0007
 19.4000      2.3400      0.0006
 19.7000     12.0400      0.0008
 19.7000      3.3500      0.0006
 20.0000      2.2400      0.0006
 20.1000     13.1100      0.0003
 20.1000      5.3300      0.0007
 20.2000     11.3300      0.0006
 20.6000      7.3600      0.0006
 20.6000      8.4800      0.0014
 20.8000      2.5900      0.0005
 20.9000      2.3300      0.0007
 21.0000      7.6200      0.0007
 21.1000      7.3400      0.0013
 21.1000      5.8100      0.0007
 21.2000      3.1800      0.0002
 21.3000      4.7100      0.0007
 21.3000      3.1000      0.0006
 21.4000      3.5400      0.0005
 21.6000      3.7200      0.0007
 21.6000      8.5800      0.0005
 21.7000      5.2300      0.0005
 21.7000      3.1100      0.0009
 21.7000      2.9200      0.0005
 21.7000      8.2100      0.0007
 22.1000      8.9700      0.0005
 22.4000      3.5800      0.0003
 22.4000      4.0700      0.0005
 22.5000     11.5600      0.0015
 22.5000      8.6700      0.0015
 22.7000      3.9300      0.0003
 22.8000      7.1700      0.0015
 22.9000      5.3000      0.0007
 23.0000      5.1900      0.0003
 23.4000      4.6400      0.0007
 23.6000      8.2700      0.0011
 23.6000     10.9800      0.0007
 23.7000      7.0700      0.0011
 23.7000      7.3100      0.0009
 23.8000      9.5800      0.0007
 24.0000      2.2600      0.0003
 24.1000      1.1200      0.0003
 24.6000      7.3600      0.0006
 24.6000      7.9500      0.0007
 24.7000      7.4500      0.0010
 24.9000      7.5600      0.0006
 24.9000      8.3400      0.0006
 25.2000      6.7400      0.0010
 25.3000      8.9000      0.0009
 25.4000      1.4600      0.0002
 25.6000      2.4300      0.0005
 25.6000      8.0300      0.0008
 25.7000      2.8000      0.0001
 25.9000      0.9800      0.0002
 25.9000      9.8200      0.0007
 26.3000     11.4800      0.0010
 26.6000      4.9000      0.0003
 26.8000      8.3400      0.0006
 27.0000      4.2100      0.0007
 27.0000      2.0000      0.0008
 27.3000      4.5200      0.0007
 27.7000      3.3800      0.0005
 27.9000      2.0400      0.0002
 28.0000      3.2900      0.0006
 28.1000     11.7400      0.0010
 28.3000      6.1500      0.0008
 28.3000      2.4500      0.0005
 28.5000      7.1700      0.0015
 28.5000      4.6200      0.0007
 28.6000      4.8400      0.0003
 28.7000      4.7800      0.0005
 28.9000      7.3400      0.0013
 29.2000      6.4300      0.0011
 29.6000      1.1500      0.0005
 29.7000      2.4800      0.0006
 29.7000      2.8600      0.0002
 29.8000      5.9100      0.0002
 30.6000      2.1600      0.0002
 30.8000      7.3000      0.0006
 31.0000      3.9800      0.0005
 31.2000      7.3500      0.0011
 31.3000      3.8200      0.0007
 31.8000      5.2400      0.0010
 32.1000      2.5600      0.0006
 32.2000      9.4200      0.0010
 32.3000      6.6700      0.0005
 32.4000      9.8000      0.0010
 32.5000      1.8300      0.0002
 32.5000      2.5000      0.0011
 32.6000      8.6400      0.0007
 32.8000      8.3700      0.0009
 32.8000      6.1100      0.0005
 33.3000      2.4600      0.0003
 33.7000      2.1100      0.0005
 33.7000      7.1600      0.0010
 33.8000      1.3200      0.0002
 34.2000      1.0500      0.0001
 34.5000     10.1700      0.0003
 34.7000      1.3400      0.0002
 34.8000     10.5700      0.0007
 34.9000      5.3500      0.0005
 35.6000      4.5900      0.0009
 35.9000      7.1600      0.0010
 36.1000      4.2900      0.0007
 36.6000      9.5000      0.0013
 36.7000      5.4700      0.0006
 36.9000      9.7100      0.0005
 37.0000      9.9900      0.0008
 37.1000      4.6200      0.0007
 37.3000     11.5400      0.0014
 37.5000      2.2600      0.0003
 37.7000      1.5400      0.0003
 37.7000      3.2000      0.0005
 38.1000      7.4100      0.0006
 38.1000      9.6500      0.0007
 38.2000      9.7900      0.0008
 38.4000     10.0200      0.0011
 38.4000      4.0500      0.0003
 39.1000      9.6700      0.0009
 39.2000      5.0200      0.0005
 39.2000      4.6500      0.0007
 39.5000      2.5100      0.0009
 39.6000      3.1300      0.0008
 39.6000      8.7000      0.0007
 39.7000      4.3300      0.0007
 39.7000      8.2200      0.0007
 39.8000      2.5400      0.0005
 39.9000      8.2500      0.0008
 40.1000     10.2600      0.0007
 40.5000      0.9800      0.0002
 40.8000      8.2800      0.0009
 41.0000     12.8700      0.0008
 41.2000      7.7600      0.0009
 41.5000      6.3800      0.0003
 41.5000      6.0200      0.0006
 41.9000      0.8200      0.0002
 42.1000      7.0700      0.0011
 42.3000      5.7600      0.0008
 42.4000      4.1600      0.0003
 42.6000     13.5600      0.0010
 42.6000     10.0000      0.0003
 42.7000      5.8000      0.0008
 44.1000      3.5400      0.0005
 44.1000     11.5400      0.0014
 44.2000      4.3300      0.0007
 45.3000      1.4400      0.0005
 45.3000      5.1100      0.0006
 45.5000      2.9000      0.0003
 45.5000      4.8400      0.0003
 45.6000      2.8200      0.0006
 45.8000      9.3600      0.0009
 47.7000     11.9300      0.0003
 47.9000      5.0600      0.0003
 48.6000      8.8400      0.0005
 48.8000     10.1400      0.0008
 49.3000      2.5100      0.0009
 49.6000      7.4500      0.0010
 49.8000      4.3300      0.0007
 49.9000      2.7500      0.0005
 50.2000      2.9000      0.0003
 50.2000      1.6900      0.0002
 50.3000      6.8300      0.0002
 50.7000     13.0300      0.0007
 50.8000      3.5900      0.0009
 51.0000      0.8400      0.0001
 51.4000      2.3500      0.0007
 52.0000      2.0000      0.0008
 52.2000      4.4500      0.0002
 52.9000      1.7500      0.0003
 53.1000      2.0500      0.0006
 53.2000      3.7000      0.0005
 53.4000     10.7500      0.0008
 53.5000      1.5700      0.0003
 53.5000      5.5200      0.0003
 54.3000      4.2900      0.0007
 54.6000      4.6000      0.0006
 55.1000      8.7700      0.0006
 55.1000      1.6400      0.0002
 55.6000      7.0400      0.0003
 55.6000      3.2700      0.0005
 55.7000      3.9800      0.0005
 55.9000      3.6100      0.0005
 55.9000      1.0400      0.0001
 55.9000      3.8900      0.0005
 56.1000      8.1000      0.0016
 56.1000      5.4800      0.0003
 56.6000      8.3500      0.0006
 56.6000      4.6000      0.0006
 56.8000      1.1900      0.0003
 57.0000      2.3200      0.0005
 57.2000      9.0000      0.0008
 57.3000      6.3900      0.0007
 57.5000      3.2100      0.0002
 57.7000      4.1500      0.0001
 57.7000      2.1100      0.0005
 58.0000      2.6600      0.0003
 58.3000     11.7500      0.0006
 58.7000      3.1000      0.0006
 58.7000      8.8500      0.0005
 59.0000      2.6500      0.0003
 59.1000     10.6900      0.0010
 59.1000      3.3200      0.0002
 59.6000      0.8900      0.0001
 59.9000     12.1800      0.0009
 60.0000      2.6400      0.0002
 60.1000      2.9100      0.0006
 60.7000     11.7400      0.0010
 61.2000     11.9500      0.0010
 61.2000     11.3500      0.0011
 61.2000      2.2300      0.0002
 61.3000      2.8700      0.0005
 61.3000      5.8000      0.0008
 61.7000      1.8800      0.0002
 61.7000     14.5000      0.0002
 62.1000      9.7700      0.0014
 62.2000     11.0100      0.0010
 62.2000     14.5000      0.0002
 62.3000      1.7100      0.0003
 62.4000      3.8700      0.0001
 62.4000      4.8800      0.0002
 62.8000      2.9200      0.0005
 62.8000     12.1300      0.0007
 62.9000      1.2800      0.0002
 62.9000      6.2200      0.0007
 63.0000      2.9700      0.0005
 63.9000      7.0300      0.0010
 64.0000      5.3300      0.0007
 64.1000     12.0100      0.0008
 64.1000      8.7400      0.0010
 64.1000     13.3800      0.0005
 64.3000      4.6600      0.0003
 64.7000     14.1000      0.0006
 64.7000     11.9500      0.0010
 64.7000     11.9000      0.0009
 64.9000     11.2100      0.0008
 64.9000      4.6400      0.0007
 65.0000      5.4000      0.0002
 65.1000      4.9700      0.0005
 65.3000     11.6000      0.0006
 65.3000      4.4900      0.0005
 65.4000      3.6700      0.0003
 65.5000      9.5300      0.0015
 65.7000      8.4700      0.0017
 65.8000      1.4600      0.0002
 66.1000      9.0000      0.0008
 66.7000     11.9300      0.0003
 66.9000      7.7500      0.0010
 67.1000      8.1300      0.0014
 67.7000      7.6100      0.0007
 67.8000      1.6200      0.0002
 67.8000      3.7600      0.0007
 68.0000      6.2600      0.0007
 68.0000      8.6700      0.0015
 68.0000      9.3600      0.0009
 68.3000     11.5500      0.0008
 68.6000      7.9200      0.0013
 68.6000     11.4300      0.0009
 68.9000      5.4400      0.0006
 69.2000      2.7200      0.0005
 69.4000      4.6900      0.0007
 69.6000      1.5300      0.0005
 69.9000      4.9300      0.0008
 70.2000     10.0500      0.0008
 70.8000      4.8300      0.0005
 71.0000      1.5300      0.0005
 71.1000      8.9600      0.0006
 71.1000      1.2600      0.0001
 71.2000      1.8200      0.0003
 71.4000      1.9700      0.0003
 71.5000     10.6100      0.0013
 71.6000      1.2500      0.0003
 71.9000      6.2300      0.0008
 72.0000      4.9500      0.0007
 72.7000      1.4000      0.0003
 72.9000     12.8400      0.0007
 73.2000      5.2000      0.0008
 73.2000      6.9200      0.0006
 73.6000      6.8200      0.0008
 73.7000      5.5000      0.0008
 74.4000      4.9200      0.0007
 74.4000      5.1600      0.0007
 74.6000      9.6100      0.0008
 74.6000      4.9000      0.0003
 74.7000      8.9800      0.0010
 75.3000      9.3900      0.0005
 75.4000      7.6800      0.0013
 75.7000      2.6300      0.0005
 76.3000      2.3300      0.0007
 76.4000      9.4600      0.0003
 76.4000      7.2300      0.0010
 76.6000      2.4100      0.0006
 76.8000     11.9000      0.0009
 76.8000      4.9200      0.0007
 77.0000      4.6400      0.0007
 77.5000      6.5800      0.0003
 78.5000      2.1400      0.0003
 78.9000      2.1800      0.0003
 79.0000      4.2700      0.0005
 79.8000      5.9300      0.0007
 79.9000     10.5800      0.0015
 80.0000      6.6400      0.0009
 80.6000     12.1700      0.0003
 80.6000      9.5900      0.0009
 80.7000      5.8200      0.0001
 80.9000      4.8100      0.0006
 81.3000      5.2000      0.0008
 82.1000     11.5400      0.0014
 82.1000      3.5500      0.0011
 82.6000     10.0700      0.0008
 82.7000     11.9500      0.0010
 82.9000      3.4800      0.0005
 83.0000      3.6900      0.0003
 83.1000      2.0000      0.0008
 83.4000      3.6800      0.0005
 83.5000      4.1300      0.0005
 83.8000      2.8100      0.0005
 84.0000      9.6600      0.0010
 84.7000      3.5000      0.0005
 84.8000      3.0300      0.0003
 85.3000     10.4800      0.0009
 85.3000      2.4400      0.0002
 85.4000      2.7600      0.0005
 85.6000      9.9700      0.0010
 85.6000      8.6300      0.0007
 86.2000      6.0900      0.0006
 86.3000      4.6100      0.0003
 86.3000      2.6600      0.0003
 86.6000      2.5400      0.0005
 86.8000      7.7400      0.0011
